gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.65_118.15,37.65,118.15,2,98.11564122599933,0.0203841097607791,6.074860869067125,8.813837695471943,Q3
37.65_118.25,37.65,118.25,160,98.11564122599933,1.630728780862334,1.698728313603766,0.0,Q4
37.65_118.35,37.65,118.35,162,98.11564122599933,1.651112890623113,4.1053495626339815,0.0,Q4
37.65_118.45,37.65,118.45,95,98.11564122599933,0.9682452136370108,3.628643228826523,8.813837695473804,Q4
37.65_118.55,37.65,118.55,6,98.11564122599933,0.0611523292823375,4.313082982344132,14.198773148484786,Q3
37.65_118.65,37.65,118.65,0,98.11564122599933,0.0,9.630416692747424,11.132,No-well
37.65_118.75,37.65,118.75,0,98.11564122599933,0.0,11.51293555588716,14.19877314848442,No-well
37.65_118.85,37.65,118.85,0,98.11564122599933,0.0,9.995015692894068,11.132,No-well
37.65_118.95,37.65,118.95,0,98.11564122599933,0.0,12.142272459605328,14.19877314848442,No-well
37.65_119.05,37.65,119.05,0,98.11564122599933,0.0,13.252707492335771,20.848413936999822,No-well
37.65_119.15,37.65,119.15,0,98.11564122599933,0.0,8.321434908207253,23.945133762878733,No-well
37.65_119.25,37.65,119.25,0,98.11564122599933,0.0,10.06252167094085,28.397546296969995,No-well
37.65_119.35,37.65,119.35,0,98.11564122599933,0.0,16.809589841951045,34.566447753554286,No-well
37.65_119.45,37.65,119.45,0,98.11564122599933,0.0,24.792668153650222,41.69682787400281,No-well
37.65_119.55,37.65,119.55,0,98.11564122599933,0.0,33.19876424723683,49.37387030660431,No-well
37.65_119.65,37.65,119.65,0,98.11564122599933,0.0,41.773280584059904,57.37856876218671,No-well
37.65_119.75,37.65,119.75,0,98.11564122599933,0.0,50.42391376611285,65.59107185573869,No-well
37.65_119.85,37.65,119.85,0,98.11564122599933,0.0,59.120414591617866,73.94217153300684,No-well
37.65_119.95,37.65,119.95,0,98.11564122599933,0.0,67.84720505165578,82.3897337335956,No-well
37.75_117.85,37.75,117.85,0,98.11564122599933,0.0,13.21288677957718,34.566447753554584,No-well
37.75_117.95,37.75,117.95,0,98.11564122599933,0.0,13.57997203483836,28.397546296969207,No-well
37.75_118.05,37.75,118.05,0,98.11564122599933,0.0,6.244027867991763,20.848413936999822,No-well
37.75_118.15,37.75,118.15,1,98.11564122599933,0.0101920548803895,2.898710606263612,14.19877314848442,Q3
37.75_118.25,37.75,118.25,0,98.11564122599933,0.0,7.606341250114579,11.132,No-well
37.75_118.35,37.75,118.35,0,98.11564122599933,0.0,8.728701528982711,11.132,No-well
37.75_118.45,37.75,118.45,83,98.11564122599933,0.8459405550723357,0.5932640197449557,14.198773148485577,Q4
37.75_118.55,37.75,118.55,11,98.11564122599933,0.1121126036842854,4.291755424182961,8.813837695473804,Q4
37.75_118.65,37.75,118.65,124,98.11564122599933,1.263814805168309,1.0555785696661937,0.0,Q4
37.75_118.75,37.75,118.75,17,98.11564122599933,0.1732649329666229,3.7020541130781535,8.813837695471943,Q4
37.75_118.85,37.75,118.85,117,98.11564122599933,1.1924704210055816,0.1971817180796822,0.0,Q4
37.75_118.95,37.75,118.95,33,98.11564122599933,0.3363378110528564,1.4446905828386616,8.813837695471943,Q4
37.75_119.05,37.75,119.05,33,98.11564122599933,0.3363378110528564,4.739642086322655,11.132,Q4
37.75_119.15,37.75,119.15,75,98.11564122599933,0.764404116029219,1.5051181770008992,14.198773148485577,Q4
37.75_119.25,37.75,119.25,0,98.11564122599933,0.0,6.005631435552273,20.848413937001403,No-well
37.75_119.35,37.75,119.35,0,98.11564122599933,0.0,14.556187746481063,28.6892843810925,No-well
37.75_119.45,37.75,119.45,0,98.11564122599933,0.0,23.303756442390316,36.97108576650431,No-well
37.75_119.55,37.75,119.55,0,98.11564122599933,0.0,32.08761438290297,45.45343548130749,No-well
37.75_119.65,37.75,119.65,0,98.11564122599933,0.0,40.88437842367071,54.04198258018472,No-well
37.75_119.75,37.75,119.75,0,98.11564122599933,0.0,49.68719423793284,62.69309718928133,No-well
